"ListName","ScreenName","Name","Description","PctFollowersFromList","NbRelations","IsListRelated"
"ai","egrefen","Edward Grefenstette","French/American AI researcher at @DeepMindAI, Honorary Reader (Associate Professor) at @UCL. All opinions my own, and don't reflect DeepMind or UCL policy.","0.277777777777778","5","1"
"ai","goodfellow_ian","Ian Goodfellow","Google Brain research scientist Lead author of https://t.co/GXx4YfpW7O Co-author of ML security blog https://t.co/zBM4kd64Rl","0.611111111111111","11","1"
"ai","stanfordnlp","Stanford NLP Group","Computational Linguistics—Natural Language—Machine Learning—Deep Learning. And misc technology from Silicon Valley. (@chrmanning, @jurafsky & @percyliang)","0.277777777777778","5","1"
"ai","NandoDF","Nando de Freitas","I research intelligence to understand what we are, and to harness it wisely. I lead the ML team @ DeepMind, I'm a CIFAR Fellow and UBC prof. These are my views.","0.388888888888889","7","1"
"ai","shakir_za","Shakir Mohamed","Research Scientist in Machine Learning and AI. Searching for the probabilistic principles of intelligence. Strengthening African ML @DeepIndaba. South African.","0.333333333333333","6","1"
"ai","BillGates","Bill Gates","Sharing things I'm learning through my foundation work and other interests...","0.333333333333333","6","0"
"ai","DavidDuvenaud","David Duvenaud","Machine learning professor @UofT. Working on generative models, inference, & finding latent structure.","0.277777777777778","5","1"
"ai","jackclarkSF","Jack Clark","@openai & @indexingai  Newsletter: https://t.co/03WBZSxSsW  Past:  @business World's Only Neural Net Reporter.  @theregister Distributed Systems Reporter.","0.277777777777778","5","1"
"ai","soumithchintala","Soumith Chintala","I work at Facebook AI Research.
I created PyTorch.
I've co-authored  WGAN and DCGAN research papers","0.277777777777778","5","1"
"ai","lawrennd","Neil Lawrence","Professor of machine learning at the University of Sheffield, on leave at Amazon, all opinions are my own etc","0.388888888888889","7","1"
"ai","JeffDean","Jeff Dean","Senior Fellow, Google AI. Google Brain team lead and co-founder.  Co-designer/implementor of software systems like @TensorFlow, MapReduce, BigTable, Spanner, ..","0.444444444444444","8","1"
"ai","douglas_eck","Douglas Eck","https://t.co/zxxDjhrV0Y. Music and Art Generation (Google Brain).","0.333333333333333","6","1"
"ai","demishassabis","Demis Hassabis","Founder & CEO DeepMind - developers of #AlphaGo, #AlphaZero & Atari DQN. Working on General AI. Trying to understand what is *really* going on in the universe","0.333333333333333","6","1"
"ai","drfeifei","Fei-Fei Li","Prof (CS @Stanford), Director (Stanford AI Lab), Chief Scientist AI/ML (Google Cloud), CoFounder/Chair @ai4allorg, Researcher #AI #computervision #ML cogneuro","0.555555555555556","10","1"
